,MP,G,PTS,AST,TwoPA,FGA,WS,All_NBA
0,13657.0,516.0,3598.0,518.0,2700.0,2918.0,29.9,0
1,3798.0,245.0,1495.0,548.0,724.0,1396.0,4.9,0
2,11685.0,529.0,5481.0,1687.0,2867.0,4746.0,17.599999999999998,0
3,4958.0,205.0,1981.0,311.0,1195.0,1652.0,10.100000000000001,0
4,3781.0,306.0,1043.0,202.0,837.0,840.0,6.1,0
5,17040.0,695.0,5478.0,1905.0,3736.0,4744.0,38.199999999999996,0
6,11171.0,640.0,3858.0,466.0,2969.0,2984.0,27.499999999999996,0
7,8022.0,472.0,2292.0,313.0,1628.0,1641.0,20.2,0
8,13057.0,732.0,2989.0,344.0,2764.0,2766.0,18.700000000000003,0
9,7775.0,455.0,1868.0,631.0,1554.0,1734.0,16.3,0
10,26635.0,940.0,12603.0,1588.0,8129.0,10761.0,41.2,0
11,21535.0,646.0,9240.0,1926.0,6864.0,7427.0,70.60000000000001,1
12,25815.0,879.0,14091.0,1317.0,12073.0,12136.0,69.39999999999999,1
13,6555.0,223.0,2848.0,281.0,2214.0,2465.0,4.4,0
14,12520.0,520.0,3766.0,639.0,2339.0,3281.0,17.499999999999996,0
15,6793.0,330.0,2421.0,371.0,1121.0,2084.0,7.2,0
16,13780.0,652.0,5094.0,397.0,4189.0,4215.0,28.1,0
17,6618.0,301.0,3034.0,534.0,1955.0,2458.0,9.700000000000001,0
18,5261.0,266.0,1834.0,177.0,1496.0,1518.0,7.9,0
19,3640.0,269.0,1439.0,135.0,1167.0,1182.0,7.300000000000001,0
20,26792.0,760.0,13883.0,1890.0,8216.0,11346.0,56.400000000000006,0
21,5142.0,226.0,1878.0,237.0,825.0,1511.0,9.8,0
22,34542.0,836.0,22723.0,5143.0,15422.0,18629.0,93.49999999999997,6
23,8775.0,386.0,2669.0,430.0,1671.0,2230.0,9.5,0
24,20856.0,682.0,11198.0,770.0,7503.0,7587.0,74.89999999999999,1
25,12403.0,447.0,4120.0,1857.0,3246.0,3906.0,21.599999999999998,0
26,25389.0,810.0,15562.0,1013.0,10574.0,10698.0,90.30000000000001,5
27,16623.0,745.0,5559.0,895.0,3823.0,4073.0,50.1,0
28,14865.0,605.0,4503.0,719.0,3444.0,3486.0,46.1,0
29,12462.0,564.0,5706.0,798.0,4762.0,4981.0,19.3,0
30,11439.0,385.0,5120.0,276.0,4024.0,4043.0,36.2,1
31,33834.0,976.0,12683.0,4396.0,7071.0,9776.0,89.1,0
32,36751.0,1174.0,15099.0,7838.0,11282.0,12103.0,94.7,0
33,5614.0,256.0,1162.0,211.0,621.0,1006.0,10.5,0
34,15806.0,550.0,7873.0,653.0,4905.0,6676.0,18.799999999999997,0
35,23916.0,797.0,9431.0,2169.0,5452.0,6637.0,75.39999999999999,0
36,10735.0,461.0,4864.0,554.0,2664.0,4029.0,19.9,0
37,19511.0,670.0,6733.0,1520.0,5499.0,5524.0,49.80000000000001,1
38,10210.0,394.0,4620.0,463.0,3234.0,3243.0,37.0,1
39,9589.0,573.0,2740.0,329.0,2148.0,2150.0,18.900000000000002,0
40,6671.0,282.0,2016.0,191.0,1843.0,1850.0,10.0,0
41,3969.0,275.0,1670.0,123.0,1223.0,1483.0,3.9,0
42,8862.0,245.0,4995.0,523.0,3396.0,4001.0,10.399999999999999,0
43,11146.0,516.0,3247.0,467.0,2407.0,2409.0,30.800000000000008,0
44,19477.0,580.0,8968.0,2902.0,5871.0,7231.0,54.199999999999996,3
45,36827.0,1058.0,19647.0,1729.0,13402.0,16688.0,85.79999999999997,0
46,12031.0,609.0,2983.0,2337.0,2561.0,3013.0,10.600000000000001,0
47,11531.0,335.0,7497.0,590.0,5274.0,5543.0,48.7,2
48,4250.0,208.0,1443.0,639.0,798.0,1230.0,5.6,0
49,14087.0,683.0,4050.0,2089.0,2899.0,3765.0,22.1,0
50,23893.0,622.0,7677.0,2529.0,5517.0,5528.0,70.6,1
51,11571.0,507.0,5058.0,471.0,2310.0,4123.0,22.099999999999998,0
52,13752.0,494.0,4478.0,1129.0,2270.0,3744.0,24.5,0
53,16894.0,690.0,6402.0,1582.0,3706.0,5864.0,25.4,0
54,3714.0,235.0,1754.0,180.0,1370.0,1449.0,6.0,0
55,10114.0,494.0,3125.0,460.0,1015.0,2533.0,18.700000000000003,0
56,6128.0,345.0,2421.0,279.0,2008.0,2019.0,10.4,0
57,30704.0,869.0,15256.0,3099.0,10155.0,14346.0,37.40000000000001,0
